28.532,1.5778,5.9097,0,1.7698,2.2834,0.032765,3.7582e-10,0.90901
8.5357,0.55353,0.19733,0,1.1022e-05,0.001341,3.735e-07,2.929e-07,1.1252e-35
8.5494,0.49836,0.1688,0,1.2043e-05,1.3924e-05,5.3838e-07,2.4844e-07,4.425e-35
9.925,0.52013,0.23523,0,7.5245e-06,8.3858e-06,1.4277e-07,6.8853e-08,2.4851e-35
10.578,0.54277,0.29643,0,5.987e-06,7.437e-06,7.5736e-08,4.9046e-08,1.4e-35
9.0993,0.55298,0.23868,0,8.5658e-06,0.0053203,2.0932e-07,1.7277e-07,9.6861e-36
5.1076,0.55265,0.12174,0,1.4472e-05,0.017345,2.3831e-06,2.3374e-06,6.6718e-33
4.5936,0.49637,0.11323,0,1.7871e-05,4.3199e-05,5.9759e-06,5.5929e-06,1.8408e-30
5.0296,0.43263,0.11458,0,1.6475e-05,4.2805e-05,7.7757e-06,7.5658e-06,2.4368e-31
5.1535,0.40877,0.11396,0,1.5577e-05,4.3518e-05,8.7054e-06,9.0127e-06,7.7625e-32
5.608,0.42366,0.1296,0,1.7421e-05,3.9753e-05,6.2151e-06,5.5339e-06,6.588e-33
7.2197,0.50865,0.16592,0,1.5077e-05,2.1814e-05,1.1575e-06,7.2453e-07,2.2571e-35
8.1652,0.55112,0.18972,0,5.0639e-06,0.035554,1.706e-07,1.2173e-07,2.1394e-36
9.3672,0.54499,0.21732,0,2.2697e-07,0.13531,6.0334e-09,4.3267e-09,8.3279e-42
10.519,0.54644,0.26916,0,2.6694e-11,0.44974,1.9654e-12,8.548e-06,7.202e-46
11.286,0.60111,0.44735,0,0.00090526,0.79448,3.7397e-08,0.00034067,6.7425e-26
12.165,0.62024,0.35268,0,0.052251,0.8944,5.3945e-06,0.00031149,8.7034e-47
12.703,0.64144,0.34229,0,0.18827,0.96669,8.4435e-05,0.00021272,3.289e-47
12.682,0.78165,0.45454,0,0.57112,1.2677,8.8744e-05,2.2043e-05,4.1803e-36
14.658,1.1098,0.45233,0,1.0159,1.8836,9.3766e-06,4.2631e-07,4.5628e-46
15.182,1.3972,0.39159,0,1.3421,2.3428,0.00081249,3.27e-08,9.7645e-47
15.842,1.4539,0.40801,0,1.4226,2.4273,0.033818,1.1731e-08,1.0079e-46
15.268,1.7581,0.4263,0,1.2867,2.677,0.63529,4.6714e-09,9.8271e-47
16.616,1.8572,0.43429,0,1.25,2.7614,0.93253,7.5894e-09,7.1424e-47
17.428,1.9507,0.49226,0,1.2359,2.8269,1.2004,1.2259e-08,1.9524e-46
18.805,2.1102,0.53425,0,1.2399,2.9719,1.5925,3.3864e-08,2.8902e-46
23.754,2.3247,0.67056,0,1.2708,3.2468,2.1826,2.4938e-07,7.3023e-45
33.622,2.8608,2.7262,0,1.3627,3.937,3.4578,0.00099441,0.00076531
54.939,4.1428,4.4746,0,1.9308,4.9809,6.3967,0.58848,0.17639
37.837,3.2448,0.78954,0,1.4791,4.3004,4.516,0.035149,1.8034e-43
28.284,2.6902,0.67783,0,1.3842,3.5613,3.3592,9.4888e-06,8.944e-45
25.152,2.3905,0.63895,0,1.3487,3.1559,2.8301,1.6329e-07,3.1218e-45
22.39,2.1355,0.6274,0,1.3119,2.813,2.3663,1.5351e-08,2.4252e-45
20.565,1.8605,0.61861,0,1.272,2.4776,1.8662,8.4312e-10,1.6683e-45
20.817,1.5305,0.6296,0,1.2449,2.1346,1.2852,2.0273e-11,1.964e-45
21.685,1.3795,0.70799,0,1.2521,1.9855,1.0232,3.1436e-12,1.6996e-44
22.251,1.301,0.69723,0,1.2662,1.9099,0.87744,1.0932e-12,1.835e-44
22.346,1.2531,0.7403,0,1.2848,1.8582,0.77724,4.2887e-13,4.2304e-44
21.228,1.2443,0.75519,0,1.2891,1.8278,0.74599,1.7781e-13,3.6001e-44
20.118,1.2548,0.84329,0,1.2876,1.8079,0.76751,1.0026e-13,1.062e-45
19.468,1.3862,0.8253,0,1.2725,1.8777,1.0979,6.1031e-13,9.7404e-46
19.621,1.5673,0.82248,0,1.298,2.0165,1.517,4.0138e-12,8.0964e-46
19.808,1.7672,0.87293,0,1.3453,2.1795,1.9594,2.5963e-11,1.8322e-45
