13.178,6.6053,3.2443,1.7114,21.539,17.618,12.63,8.1472,14,8.1964,4.7304,2.7379,63.109,57.264,49.76,41.339,84.365
13.565,6.7812,3.3125,1.7311,22.279,18.239,13.094,8.4703,14.434,8.4469,4.8732,2.8182,65.115,59.071,51.311,42.598,87.054
13.953,6.9571,3.382,1.7511,23.02,18.861,13.559,8.7931,14.868,8.6973,5.0143,2.8986,67.121,60.878,52.86,43.857,89.743
14.34,7.1329,3.4506,1.7711,23.761,19.483,14.022,9.1154,15.301,8.9475,5.1576,2.979,69.127,62.685,54.41,45.114,92.432
14.727,7.3087,3.5198,1.7917,24.502,20.105,14.487,9.4378,15.735,9.1977,5.2989,3.059,71.133,64.492,55.958,46.371,95.122
15.115,7.4843,3.5889,1.8122,25.243,20.727,14.951,9.7595,16.169,9.4482,5.4411,3.1397,73.139,66.299,57.507,47.628,97.811
15.502,7.66,3.658,1.8328,25.984,21.349,15.415,10.081,16.603,9.6989,5.5839,3.22,75.144,68.106,59.056,48.884,100.5
15.889,7.8358,3.727,1.8537,26.725,21.971,15.879,10.402,17.036,9.9495,5.7251,3.3001,77.15,69.913,60.604,50.14,103.19
16.276,8.0117,3.7968,1.8746,27.466,22.593,16.343,10.724,17.47,10.2,5.8676,3.3801,79.155,71.719,62.153,51.395,105.88
16.663,8.1875,3.8653,1.8957,28.208,23.215,16.807,11.044,17.904,10.45,6.01,3.4606,81.161,73.526,63.701,52.65,108.57
17.05,8.3633,3.9354,1.9171,28.949,23.838,17.271,11.365,18.338,10.7,6.1511,3.541,83.167,75.332,65.248,53.905,111.26
17.438,8.5388,4.0042,1.9386,29.69,24.46,17.734,11.685,18.771,10.95,6.2943,3.6207,85.172,77.138,66.797,55.158,113.95
17.825,8.7144,4.0738,1.9599,30.432,25.082,18.199,12.005,19.204,11.2,6.4356,3.7016,87.177,78.945,68.344,56.413,116.64
18.212,8.8902,4.1433,1.9817,31.173,25.704,18.662,12.325,19.638,11.451,6.5774,3.7822,89.183,80.751,69.891,57.667,119.32
18.599,9.0659,4.2124,2.0035,31.914,26.326,19.126,12.645,20.072,11.702,6.7208,3.8616,91.188,82.558,71.44,58.92,122.01
18.986,9.2417,4.2824,2.0252,32.656,26.949,19.59,12.965,20.505,11.952,6.8604,3.9431,93.194,84.364,72.985,60.174,124.7
19.373,9.4175,4.3512,2.0477,33.398,27.571,20.053,13.285,20.939,12.202,7.0055,4.0221,95.199,86.17,74.535,61.426,127.39
19.76,9.5932,4.4217,2.0695,34.139,28.194,20.518,13.605,21.372,12.452,7.1442,4.1013,97.205,87.976,76.079,62.678,130.08
20.147,9.7688,4.4903,2.0916,34.881,28.816,20.98,13.923,21.806,12.702,7.2891,4.1828,99.21,89.782,77.628,63.932,132.77
20.534,9.9444,4.5608,2.1144,35.622,29.439,21.444,14.245,22.239,12.952,7.4292,4.2589,101.22,91.587,79.174,65.18,135.46
20.921,10.12,4.6297,2.1355,36.364,30.061,21.907,14.562,22.673,13.203,7.572,4.3406,103.22,93.394,80.721,66.433,138.15
21.308,10.296,4.6995,2.1584,37.106,30.683,22.371,14.881,23.106,13.454,7.7141,4.4223,105.23,95.2,82.268,67.687,140.84
21.695,10.471,4.7692,2.1812,37.847,31.306,22.834,15.203,23.54,13.704,7.8561,4.4953,107.23,97.006,83.815,68.931,143.53
22.082,10.647,4.839,2.2007,38.589,31.928,23.298,15.518,23.974,13.954,7.9966,4.5768,109.24,98.811,85.36,70.182,146.22
22.469,10.823,4.9081,2.2203,39.331,32.551,23.761,15.826,24.407,14.204,8.1414,4.6746,111.24,100.62,86.909,71.45,148.91
22.856,10.998,4.979,2.243,40.073,33.173,24.225,16.14,24.841,14.454,8.2812,4.7647,113.25,102.42,88.454,72.711,151.59
23.243,11.174,5.0476,2.2689,40.814,33.796,24.689,16.462,25.274,14.705,8.4213,4.8453,115.25,104.23,89.999,73.965,154.28
23.629,11.35,5.1173,2.2935,41.556,34.418,25.15,16.786,25.708,14.955,8.5688,4.9165,117.26,106.03,91.55,75.208,156.97
24.016,11.525,5.1883,2.3166,42.298,35.041,25.616,17.108,26.141,15.205,8.7058,4.9871,119.26,107.84,93.092,76.45,159.66
24.403,11.701,5.2568,2.3387,43.04,35.663,26.079,17.428,26.575,15.456,8.8479,5.0619,121.27,109.65,94.639,77.695,162.35
24.79,11.877,5.3265,2.3612,43.782,36.286,26.54,17.747,27.008,15.706,8.9941,5.1381,123.27,111.45,96.188,78.941,165.04
25.177,12.053,5.3974,2.3846,44.524,36.909,27.005,18.067,27.442,15.956,9.1333,5.2158,125.28,113.26,97.732,80.19,167.73
25.564,12.228,5.4664,2.4082,45.266,37.531,27.468,18.385,27.875,16.206,9.2748,5.2975,127.28,115.06,99.278,81.442,170.42
25.951,12.404,5.5363,2.4307,46.008,38.154,27.931,18.7,28.309,16.456,9.4173,5.3826,129.29,116.87,100.82,82.697,173.11
26.338,12.579,5.6061,2.4529,46.749,38.776,28.395,19.017,28.742,16.706,9.5595,5.4628,131.29,118.67,102.37,83.947,175.8
26.725,12.755,5.6757,2.476,47.491,39.399,28.857,19.337,29.176,16.957,9.7026,5.5375,133.3,120.48,103.92,85.192,178.49
27.111,12.931,5.7462,2.5006,48.233,40.022,29.321,19.658,29.609,17.207,9.8439,5.6166,135.3,122.29,105.46,86.442,181.18
27.498,13.106,5.8162,2.523,48.975,40.644,29.786,19.97,30.042,17.458,9.9825,5.7071,137.31,124.09,107.01,87.702,183.86
27.885,13.282,5.8848,2.5445,49.717,41.267,30.248,20.286,30.476,17.708,10.125,5.7872,139.31,125.9,108.55,88.952,186.55
28.272,13.457,5.9538,2.5681,50.459,41.889,30.709,20.606,30.909,17.959,10.274,5.8648,141.32,127.7,110.1,90.2,189.24
28.659,13.633,6.0251,2.5901,51.201,42.512,31.173,20.923,31.343,18.209,10.417,5.9443,143.33,129.51,111.65,91.449,191.93
29.046,13.809,6.0966,2.6158,51.943,43.135,31.64,21.246,31.776,18.459,10.552,6.0201,145.33,131.31,113.19,92.697,194.62
29.432,13.985,6.1657,2.6337,52.685,43.757,32.105,21.553,32.21,18.709,10.688,6.1132,147.34,133.12,114.73,93.959,197.31
29.819,14.161,6.2328,2.662,53.427,44.38,32.566,21.888,32.643,18.958,10.833,6.1782,149.34,134.92,116.28,95.199,200
